id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
bf43d081-02f0-4fdb-ba56-b50b871061df,Rhamondre,Stevenson,94.3,144,RB30,RB,New England Patriots,,,94.3
a06b6bda-fdd4-45db-a145-c4b7b48b7844,Cooper,Kupp,95.7,101,WR49,WR,Los Angeles Rams,,,95.7
9ae22f16-1c90-4f3d-b1c4-b841d93216a5,Rashid,Shaheed,95.9,142,WR50,WR,New Orleans Saints,,,95.9
555a6864-c16e-40c5-922f-56c81eb6ae95,Darnell,Mooney,96.1,131,WR51,WR,Atlanta Falcons,,,96.1
a654503f-3d5d-498d-a82f-a50ae6eef24d,Kyler,Murray,97.4,283,QB10,QB,Arizona Cardinals,,,97.4
6ff0d070-edaa-40f6-b79b-3d1d8f2c2bb5,Caleb,Williams,98.9,255,QB11,QB,Chicago Bears,,,98.9
71f3c877-7c83-4718-827f-677bfbb15abe,Brock,Purdy,99.5,297,QB12,QB,San Francisco 49ers,,,99.5
db9ebcd6-37c0-4541-b196-6dc5229b77f5,Tyler,Warren,100.6,136,TE8,TE,,,,100.6
03130849-9769-441a-915d-826df5fa3c7e,J.K.,Dobbins,102.1,158,RB31,RB,Los Angeles Chargers,,,102.1
5c5b1278-cfc5-4bd9-af32-336b59282a76,Travis,Etienne Jr.,103.1,99,RB32,RB,Jacksonville Jaguars,,,103.1
596cd3a6-e77f-4062-aa2f-20b9138c4439,Zach,Charbonnet,104.2,126,RB33,RB,Seattle Seahawks,,,104.2
10c19580-76dd-4707-82b6-4869b4a85616,Michael,Pittman Jr.,105.9,116,WR52,WR,Indianapolis Colts,,,105.9
48067bd6-6dde-46cf-b925-67b8c67279b3,David,Njoku,105.9,145,TE9,TE,Cleveland Browns,,,105.9
de1aea33-8e6d-4a44-8002-d2561f3c61ce,D'Andre,Swift,107.5,108,RB34,RB,Chicago Bears,,,107.5
fffb1bdd-823c-4977-90ec-d6d1e19c21af,Brian,Robinson Jr.,108.7,111,RB35,RB,Washington Commanders,,,108.7
5daf3979-cce6-43b7-a652-de2807b3484c,Jordan,Love,110.3,317,QB13,QB,Green Bay Packers,,,110.3
850f5c53-f1d8-4e48-99ec-46ed4d84eb70,Najee,Harris,110.3,92,RB36,RB,Pittsburgh Steelers,,,110.3
6eb8647a-b077-4f1d-97d5-efd106020278,Stefon,Diggs,110.5,108,WR53,WR,Houston Texans,,,110.5
7314bb99-f362-4752-a5a0-f51df642f57d,Rashod,Bateman,111.7,100,WR54,WR,Baltimore Ravens,,,111.7
3fe3d7e2-34e3-4a89-aee4-915143159639,Justin,Herbert,111.9,308,QB14,QB,Los Angeles Chargers,,,111.9
